artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
britney spears,oops!...i did it again,False,2000,0.77,0.751,0.834,0.745,0.0437,0.3,1.77e-05,0.355,0.894,95,3.31,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blink-182,all the small things,False,1999,0.79,0.434,0.897,0.771,0.0488,0.0103,0.0,0.612,0.684,149,2.47,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
faith hill,breathe,False,1999,0.66,0.529,0.496,0.569,0.029,0.173,0.0,0.251,0.278,137,4.1,G,Major,G Major,Veloce (Allegro),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
bon jovi,it's my life,False,2000,0.78,0.551,0.913,0.813,0.0466,0.0263,1.35e-05,0.347,0.544,120,3.44,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
nsync,bye bye bye,False,2000,0.65,0.614,0.928,0.776,0.0516,0.0408,0.00104,0.0845,0.879,173,3.2,G#,Minor,G# Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sisqo,thong song,True,1999,0.69,0.706,0.888,0.67,0.0654,0.119,9.64e-05,0.07,0.714,122,4.13,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
eminem,the real slim shady,True,2000,0.86,0.949,0.661,0.804,0.0572,0.0302,0.0,0.0454,0.76,105,4.44,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
robbie williams,rock dj,False,2000,0.68,0.708,0.772,0.803,0.0322,0.0267,0.0,0.467,0.861,103,4.18,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
destiny's child,say my name,False,1999,0.75,0.713,0.678,0.839,0.102,0.273,0.0,0.149,0.734,138,4.31,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
modjo,lady - hear me tonight,False,2001,0.77,0.72,0.808,0.736,0.0379,0.00793,0.0293,0.0634,0.869,126,5.07,F#,Major,F# Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gigi d'agostino,l'amour toujours,False,2011,0.01,0.617,0.728,0.622,0.0292,0.0328,0.0482,0.36,0.808,139,3.58,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eiffel 65,move your body - gabry ponte original radio edit,False,1999,0.56,0.745,0.958,0.536,0.0287,0.0813,0.324,0.533,0.96,130,4.28,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bomfunk mc's,freestyler,False,2000,0.55,0.822,0.922,0.727,0.0989,0.0291,0.325,0.252,0.568,164,5.06,B,Minor,B Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sting,desert rose,False,1999,0.62,0.586,0.659,0.622,0.0304,0.011,0.0,0.106,0.147,112,4.45,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
melanie c,never be the same again,False,1999,0.61,0.689,0.685,0.759,0.0478,0.0921,0.0,0.119,0.398,160,4.54,D#,Major,D# Major,Vivace,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
aaliyah,try again,False,2002,0.53,0.797,0.622,0.735,0.29,0.0807,0.0,0.0841,0.731,93,4.44,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
anastacia,i'm outta love - radio edit,False,1999,0.64,0.761,0.716,0.727,0.056,0.396,0.0,0.0771,0.649,119,4.05,A#,Minor,A# Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alice deejay,better off alone,False,2000,0.73,0.671,0.88,0.71,0.0552,0.00181,0.691,0.285,0.782,137,3.34,G#,Minor,G# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gigi d'agostino,the riddle,False,1999,0.64,0.74,0.876,0.674,0.0369,0.0173,0.00152,0.0785,0.825,127,4.45,F#,Minor,F# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dr. dre,the next episode,True,1999,0.82,0.922,0.909,0.894,0.27,0.0281,0.0,0.0856,0.309,95,2.41,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
linkin park,in the end,False,2000,0.83,0.556,0.864,0.724,0.0584,0.00958,0.0,0.209,0.4,105,3.36,D#,Minor,D# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tom jones,sexbomb,False,1999,0.65,0.801,0.876,0.819,0.0446,0.144,1.38e-05,0.104,0.932,123,3.31,G#,Minor,G# Minor,Veloce (Allegro),1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
sonique,it feels so good,False,2000,0.62,0.634,0.677,0.654,0.0304,0.0117,0.00103,0.126,0.558,135,4.0,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
m.o.p.,cold as ice,True,2000,0.54,0.656,0.88,0.746,0.143,0.0421,0.0,0.294,0.758,86,4.04,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
melanie c,i turn to you,False,1999,0.54,0.522,0.803,0.726,0.0327,0.00117,0.00167,0.31,0.0783,135,5.52,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,take a look around,False,2000,0.72,0.425,0.852,0.737,0.046,0.0175,0.306,0.0935,0.512,102,5.21,B,Major,B Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
darude,sandstorm,False,2001,0.69,0.528,0.965,0.619,0.0465,0.141,0.985,0.0797,0.587,136,3.45,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
da brat,what'chu like (feat. tyrese),True,2000,0.53,0.879,0.681,0.571,0.24,0.017,0.0,0.0669,0.817,100,3.41,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
moloko,the time is now,False,2000,0.54,0.682,0.743,0.488,0.165,0.35,0.000129,0.277,0.546,128,5.18,A,Minor,A Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
chicane,don't give up,False,2016,0.47,0.644,0.72,0.538,0.0419,0.00145,0.504,0.0839,0.53,132,3.3,A#,Minor,A# Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dmx,party up,True,1999,0.71,0.51,0.931,0.85,0.347,0.0738,0.0,0.5,0.53,202,4.28,B,Major,B Major,Frenetico (Presto),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
debelah morgan,dance with me,False,2000,0.49,0.85,0.674,0.619,0.0373,0.309,0.000645,0.0356,0.74,115,3.4,G,Minor,G Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
madonna,music,False,2000,0.58,0.736,0.802,0.592,0.0663,0.00149,0.0876,0.14,0.871,120,3.45,G,Major,G Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ruff endz,no more,False,2000,0.52,0.839,0.641,0.734,0.0858,0.0324,4.56e-06,0.0602,0.927,97,4.02,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
britney spears,born to make you happy,False,1999,0.58,0.633,0.922,0.774,0.0454,0.116,0.000465,0.071,0.686,84,4.03,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
montell jordan,get it on tonite,False,1999,0.59,0.813,0.491,0.523,0.077,0.241,4.61e-05,0.0817,0.868,99,4.36,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
kylie minogue,spinning around,False,2000,0.55,0.761,0.662,0.636,0.0548,0.292,6.19e-05,0.0956,0.631,120,3.27,F#,Minor,F# Minor,Allegretto,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
jay-z,big pimpin',True,1999,0.69,0.88,0.814,0.702,0.14,0.168,0.00672,0.0584,0.942,138,4.43,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
leann rimes,i need you,False,2001,0.61,0.478,0.736,0.662,0.0367,0.02,9.58e-05,0.118,0.564,145,3.49,G,Major,G Major,Veloce (Allegro),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
avant,separated,False,2000,0.55,0.798,0.48,0.739,0.0276,0.247,0.0,0.237,0.643,108,4.15,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
enrique iglesias,be with you,False,1999,0.54,0.683,0.866,0.745,0.0329,0.0395,0.00161,0.0483,0.542,122,3.39,C#,Minor,C# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
toni braxton,he wasn't man enough,False,2000,0.66,0.739,0.947,0.919,0.0411,0.00916,3.14e-05,0.326,0.766,88,4.21,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bow wow,bounce with me (feat. xscape) - edited album version,False,2000,0.36,0.852,0.75,0.759,0.168,0.434,0.0,0.265,0.934,72,2.55,G#,Major,G# Major,Lento (Adagio),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
dr. dre,forgot about dre,True,1999,0.79,0.924,0.74,0.949,0.0774,0.0827,0.0,0.163,0.621,134,3.42,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
missy elliott,hot boyz,True,1998,0.49,0.727,0.445,0.458,0.291,0.339,0.0,0.18,0.527,81,3.35,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
backstreet boys,show me the meaning of being lonely,False,1999,0.68,0.63,0.625,0.762,0.0252,0.231,0.0,0.0765,0.683,168,3.54,F#,Minor,F# Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
samantha mumba,gotta tell you,False,2018,0.43,0.729,0.632,0.581,0.0279,0.191,0.0,0.166,0.774,110,3.21,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mya,case of the ex (whatcha gonna do),False,2000,0.59,0.772,0.688,0.781,0.0405,0.0548,9.79e-05,0.0725,0.348,98,3.56,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mary mary,shackles (praise you),False,2000,0.64,0.779,0.834,0.877,0.162,0.0343,0.0,0.0886,0.8,100,3.18,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
