artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
britney spears,oops!...i did it again,False,2000,0.865,0.735,0.825,0.745,0.037,0.307,0.0,0.401,0.916,95,211,Moderato,C#,Minor,C# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blink-182,all the small things,False,1999,0.888,0.36,0.892,0.771,0.046,0.01,0.0,0.71,0.691,149,167,Veloce (Allegro),C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
faith hill,breathe,False,1999,0.742,0.473,0.467,0.569,0.01,0.177,0.0,0.276,0.257,137,250,Veloce (Allegro),G,Major,G Major,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
bon jovi,it's my life,False,2000,0.876,0.499,0.909,0.813,0.042,0.027,0.0,0.392,0.541,120,224,Allegretto,C,Minor,C Minor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
nsync,bye bye bye,False,2000,0.73,0.573,0.925,0.776,0.051,0.042,0.001,0.076,0.9,173,200,Vivace,G#,Minor,G# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sisqo,thong song,True,1999,0.775,0.682,0.882,0.67,0.076,0.122,0.0,0.058,0.723,122,253,Veloce (Allegro),D,Major,D Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
eminem,the real slim shady,True,2000,0.966,0.969,0.642,0.804,0.062,0.031,0.0,0.029,0.772,105,284,Moderato,F,Minor,F Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
robbie williams,rock dj,False,2000,0.764,0.684,0.76,0.803,0.016,0.027,0.0,0.536,0.88,103,258,Moderato,G,Major,G Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
destiny's child,say my name,False,1999,0.843,0.69,0.66,0.84,0.142,0.28,0.0,0.153,0.744,138,271,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
modjo,lady - hear me tonight,False,2001,0.865,0.699,0.798,0.736,0.027,0.008,0.03,0.05,0.889,126,307,Veloce (Allegro),F#,Major,F# Major,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gigi d'agostino,l'amour toujours,False,2011,0.011,0.577,0.713,0.622,0.011,0.034,0.049,0.407,0.824,139,238,Veloce (Allegro),G,Major,G Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eiffel 65,move your body - gabry ponte original radio edit,False,1999,0.629,0.728,0.957,0.536,0.01,0.083,0.329,0.615,0.986,130,268,Veloce (Allegro),G,Major,G Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bomfunk mc's,freestyler,False,2000,0.618,0.819,0.918,0.727,0.137,0.03,0.33,0.277,0.567,164,306,Vivace,B,Minor,B Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sting,desert rose,False,1999,0.697,0.54,0.64,0.622,0.013,0.011,0.0,0.102,0.116,112,285,Allegretto,C,Minor,C Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
melanie c,never be the same again,False,1999,0.685,0.662,0.667,0.759,0.044,0.094,0.0,0.117,0.385,160,294,Vivace,D#,Major,D# Major,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
aaliyah,try again,False,2002,0.596,0.79,0.601,0.735,0.483,0.083,0.0,0.075,0.741,93,284,Moderato,F#,Minor,F# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
anastacia,i'm outta love - radio edit,False,1999,0.719,0.747,0.7,0.727,0.059,0.406,0.0,0.067,0.653,119,245,Allegretto,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alice deejay,better off alone,False,2000,0.82,0.641,0.874,0.71,0.058,0.002,0.702,0.317,0.796,137,214,Veloce (Allegro),G#,Minor,G# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gigi d'agostino,the riddle,False,1999,0.719,0.722,0.87,0.674,0.025,0.018,0.002,0.069,0.842,127,285,Veloce (Allegro),F#,Minor,F# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dr. dre,the next episode,True,1999,0.921,0.937,0.905,0.894,0.446,0.029,0.0,0.077,0.29,95,161,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
linkin park,in the end,False,2000,0.933,0.505,0.857,0.724,0.064,0.01,0.0,0.226,0.387,105,216,Moderato,D#,Minor,D# Minor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tom jones,sexbomb,False,1999,0.73,0.794,0.87,0.819,0.039,0.148,0.0,0.099,0.956,123,211,Veloce (Allegro),G#,Minor,G# Minor,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
sonique,it feels so good,False,2000,0.697,0.597,0.659,0.654,0.013,0.012,0.001,0.126,0.556,135,240,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
m.o.p.,cold as ice,True,2000,0.607,0.623,0.874,0.746,0.217,0.043,0.0,0.328,0.77,86,244,Moderato,B,Minor,B Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
melanie c,i turn to you,False,1999,0.607,0.464,0.792,0.726,0.017,0.001,0.002,0.347,0.043,135,352,Veloce (Allegro),C#,Major,C# Major,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,take a look around,False,2000,0.809,0.35,0.844,0.737,0.041,0.018,0.311,0.087,0.507,102,321,Moderato,B,Major,B Major,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
darude,sandstorm,False,2001,0.775,0.472,0.964,0.619,0.042,0.144,1.0,0.07,0.587,136,225,Veloce (Allegro),B,Minor,B Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
da brat,what'chu like (feat. tyrese),True,2000,0.596,0.886,0.663,0.571,0.392,0.017,0.0,0.055,0.833,100,221,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
